name,qid,filename,file_page,author,license,source,image_url,_saved_path
Hugo Ekitike,Q100602910,Hugo Ekitike (PSG 2023).jpg,https://commons.wikimedia.org/wiki/File:Hugo Ekitike (PSG 2023).jpg,"<a href=""//commons.wikimedia.org/wiki/User:Liondartois"" title=""User:Liondartois"">Liondartois</a>",CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/Hugo%20Ekitike%20%28PSG%202023%29.jpg?width=800,/Users/mzahariev/footballspinner/public/players/Hugo Ekitike (PSG 2023).jpg
Andrew Robertson,Q15915040,LFC Parade 2019 01 Andy Robertson.jpg,https://commons.wikimedia.org/wiki/File:LFC Parade 2019 01 Andy Robertson.jpg,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/23662057@N03"">Eric The Fish</a> from UK",CC BY 2.0 (https://creativecommons.org/licenses/by/2.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/LFC%20Parade%202019%2001%20Andy%20Robertson.jpg?width=800,/Users/mzahariev/footballspinner/public/players/LFC Parade 2019 01 Andy Robertson.jpg
Freddie Woodman,Q20127322,Freddie Woodman 2021-08-07 1.jpg,https://commons.wikimedia.org/wiki/File:Freddie Woodman 2021-08-07 1.jpg,"<a href=""//commons.wikimedia.org/wiki/User:Mattythewhite"" title=""User:Mattythewhite"">Mattythewhite</a>",CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/Freddie%20Woodman%202021-08-07%201.jpg?width=800,/Users/mzahariev/footballspinner/public/players/Freddie Woodman 2021-08-07 1.jpg
Wataru Endo,Q10526787,Wataru Endo Japan.jpg,https://commons.wikimedia.org/wiki/File:Wataru Endo Japan.jpg,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Endoyatto&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Endoyatto (page does not exist)"">Endoyatto</a>",Public domain,player,https://commons.wikimedia.org/wiki/Special:FilePath/Wataru%20Endo%20Japan.jpg?width=800,/Users/mzahariev/footballspinner/public/players/Wataru Endo Japan.jpg
Jeremie Frimpong,Q67198835,silhouette-player.png,,Wikimedia contributor,CC,fallback,/img/silhouette-player.png,
Ryan Gravenberch,Q56257870,"2022-07-30 Fußball, Männer, DFL-Supercup, RB Leipzig - FC Bayern München 1DX 3342 by Stepro (cropped).jpg","https://commons.wikimedia.org/wiki/File:2022-07-30 Fußball, Männer, DFL-Supercup, RB Leipzig - FC Bayern München 1DX 3342 by Stepro (cropped).jpg","crop by <a href=""//commons.wikimedia.org/wiki/User:Sepguilherme"" class=""mw-redirect"" title=""User:Sepguilherme"">Sepguilherme</a>",CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/2022-07-30%20Fu%C3%9Fball%2C%20M%C3%A4nner%2C%20DFL-Supercup%2C%20RB%20Leipzig%20-%20FC%20Bayern%20M%C3%BCnchen%201DX%203342%20by%20Stepro%20%28cropped%29.jpg?width=800,/Users/mzahariev/footballspinner/public/players/2022-07-30 Fußball Männer DFL-Supercup RB Leipzig - FC Bayern München 1DX 3342 by Stepro (cropped).jpg
Virgil van Dijk,Q133903,20160604 AUT NED 8876 (cropped).jpg,https://commons.wikimedia.org/wiki/File:20160604 AUT NED 8876 (cropped).jpg,"<a href=""//commons.wikimedia.org/wiki/User:Ailura"" title=""User:Ailura"">Ailura</a>",CC BY-SA 3.0 at (https://creativecommons.org/licenses/by-sa/3.0/at/deed.en),player,https://commons.wikimedia.org/wiki/Special:FilePath/20160604%20AUT%20NED%208876%20%28cropped%29.jpg?width=800,/Users/mzahariev/footballspinner/public/players/20160604 AUT NED 8876 (cropped).jpg
Ármin Pécsi,Q131721965,silhouette-player.png,,Wikimedia contributor,CC,fallback,/img/silhouette-player.png,
Rhys Williams,Q99893479,silhouette-player.png,,Wikimedia contributor,CC,fallback,/img/silhouette-player.png,
Kaide Gordon,Q104554107,Kaide Gordon Liverpool FC gegen 1. FSV Mainz 05 (Testspiel 23. Juli 2021) 36 (cropped).jpg,https://commons.wikimedia.org/wiki/File:Kaide Gordon Liverpool FC gegen 1. FSV Mainz 05 (Testspiel 23. Juli 2021) 36 (cropped).jpg,"<a href=""//commons.wikimedia.org/wiki/User:Werner100359"" title=""User:Werner100359"">Werner100359</a>",CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/Kaide%20Gordon%20Liverpool%20FC%20gegen%201.%20FSV%20Mainz%2005%20%28Testspiel%2023.%20Juli%202021%29%2036%20%28cropped%29.jpg?width=800,/Users/mzahariev/footballspinner/public/players/Kaide Gordon Liverpool FC gegen 1. FSV Mainz 05 (Testspiel 23. Juli 2021) 36 (cropped).jpg
